date,amount
'10/31/2013',339
'11/01/2013',326
'11/02/2013',514
'11/03/2013',331
'11/04/2013',178
'11/05/2013',250
'11/06/2013',285
'11/07/2013',252
'11/08/2013',266
'11/09/2013',326
'11/10/2013',343
'11/11/2013',205
'11/12/2013',146
'11/13/2013',191
'11/14/2013',199
'11/15/2013',263
'11/16/2013',425
'11/17/2013',354
'11/18/2013',177
'11/19/2013',184
'11/20/2013',188
'11/21/2013',250
'11/22/2013',235
'11/23/2013',344
'11/24/2013',226
'11/25/2013',125
'11/26/2013',119
'11/27/2013',108
'11/28/2013',113
'11/29/2013',142
'11/30/2013',218
'12/01/2013',265
'12/02/2013',178
'12/03/2013',218
'12/04/2013',244
'12/05/2013',252
'12/06/2013',223
'12/07/2013',298
'12/08/2013',261
'12/09/2013',134
'12/10/2013',165
'12/11/2013',171
'12/12/2013',194
'12/13/2013',209
'12/14/2013',238
'12/15/2013',174
'12/16/2013',165
'12/17/2013',152
'12/18/2013',151
'12/19/2013',174
'12/20/2013',227
'12/21/2013',344
'12/22/2013',301
'12/23/2013',156
'12/24/2013',127
'12/25/2013',88
'12/26/2013',91
'12/27/2013',160
'12/28/2013',214
'12/29/2013',144
'12/30/2013',161
'12/31/2013',138
'01/01/2014',151
'01/02/2014',86
'01/03/2014',80
'01/04/2014',121
'01/05/2014',177
'01/06/2014',127
'01/07/2014',141
'01/08/2014',148
'01/09/2014',144
'01/10/2014',184
'01/11/2014',238
'01/12/2014',277
'01/13/2014',199
'01/14/2014',189
'01/15/2014',204
'01/16/2014',212
'01/17/2014',210
'01/18/2014',307
'01/19/2014',251
'01/20/2014',228
'01/21/2014',134
'01/22/2014',80
'01/23/2014',105
'01/24/2014',132
'01/25/2014',214
'01/26/2014',237
'01/27/2014',152
'01/28/2014',160
'01/29/2014',177
'01/30/2014',187
'01/31/2014',203
'02/01/2014',370
'02/02/2014',297
'02/03/2014',113
'02/04/2014',142
'02/05/2014',120
'02/06/2014',113
'02/07/2014',183
'02/08/2014',218
'02/09/2014',220
'02/10/2014',155
'02/11/2014',151
'02/12/2014',145
'02/13/2014',103
'02/14/2014',116
'02/15/2014',238
'02/16/2014',165
'02/17/2014',177
'02/18/2014',173
'02/19/2014',158
'02/20/2014',152
'02/21/2014',248
'02/22/2014',328
'02/23/2014',282
'02/24/2014',155
'02/25/2014',171
'02/26/2014',184
'02/27/2014',189
'02/28/2014',274
'03/01/2014',330
'03/02/2014',270
'03/03/2014',142
'03/04/2014',197
'03/05/2014',181
'03/06/2014',194
'03/07/2014',246
'03/08/2014',355
'03/09/2014',271
'03/10/2014',208
'03/11/2014',326
'03/12/2014',272
'03/13/2014',183
'03/14/2014',228
'03/15/2014',433
'03/16/2014',396
'03/17/2014',230
'03/18/2014',253
'03/19/2014',219
'03/20/2014',269
'03/21/2014',288
'03/22/2014',420
'03/23/2014',351
'03/24/2014',208
'03/25/2014',232
'03/26/2014',223
'03/27/2014',265
'03/28/2014',284
'03/29/2014',379
'03/30/2014',249
'03/31/2014',203
'04/01/2014',315
'04/02/2014',353
'04/03/2014',343
'04/04/2014',250
'04/05/2014',330
'04/06/2014',365
'04/07/2014',230
'04/08/2014',318
'04/09/2014',290
'04/10/2014',337
'04/11/2014',372
'04/12/2014',589
'04/13/2014',584
'04/14/2014',384
'04/15/2014',232
'04/16/2014',219
'04/17/2014',260
'04/18/2014',288
'04/19/2014',451
'04/20/2014',371
'04/21/2014',286
'04/22/2014',314
'04/23/2014',284
'04/24/2014',289
'04/25/2014',292
'04/26/2014',474
'04/27/2014',427
'04/28/2014',310
'04/29/2014',235
'04/30/2014',154
'05/01/2014',382
'05/02/2014',483
'05/03/2014',640
'05/04/2014',516
'05/05/2014',334
'05/06/2014',338
'05/07/2014',353
'05/08/2014',331
'05/09/2014',389
'05/10/2014',636
'05/11/2014',691
'05/12/2014',526
'05/13/2014',412
'05/14/2014',390
'05/15/2014',290
'05/16/2014',371
'05/17/2014',702
'05/18/2014',700
'05/19/2014',341
'05/20/2014',473
'05/21/2014',501
'05/22/2014',344
'05/23/2014',357
'05/24/2014',502
'05/25/2014',855
'05/26/2014',843
'05/27/2014',394
'05/28/2014',331
'05/29/2014',359
'05/30/2014',496
'05/31/2014',691
'06/01/2014',803
'06/02/2014',485
'06/03/2014',434
'06/04/2014',444
'06/05/2014',344
'06/06/2014',555
'06/07/2014',867
'06/08/2014',822
'06/09/2014',361
'06/10/2014',463
'06/11/2014',414
'06/12/2014',361
'06/13/2014',344
'06/14/2014',739
'06/15/2014',829
'06/16/2014',511
'06/17/2014',395
'06/18/2014',343
'06/19/2014',348
'06/20/2014',575
'06/21/2014',957
'06/22/2014',812
'06/23/2014',373
'06/24/2014',454
'06/25/2014',358
'06/26/2014',370
'06/27/2014',520
'06/28/2014',801
'06/29/2014',658
'06/30/2014',407
'07/01/2014',398
'07/02/2014',234
'07/03/2014',206
'07/04/2014',383
'07/05/2014',627
'07/06/2014',699
'07/07/2014',331
'07/08/2014',277
'07/09/2014',275
'07/10/2014',379
'07/11/2014',471
'07/12/2014',660
'07/13/2014',596
'07/14/2014',171
'07/15/2014',167
'07/16/2014',341
'07/17/2014',429
'07/18/2014',491
'07/19/2014',835
'07/20/2014',663
'07/21/2014',418
'07/22/2014',367
'07/23/2014',233
'07/24/2014',378
'07/25/2014',477
'07/26/2014',734
'07/27/2014',617
'07/28/2014',324
'07/29/2014',424
'07/30/2014',395
'07/31/2014',398
'08/01/2014',458
'08/02/2014',623
'08/03/2014',580
'08/04/2014',274
'08/05/2014',398
'08/06/2014',369
'08/07/2014',396
'08/08/2014',499
'08/09/2014',806
'08/10/2014',703
'08/11/2014',359
'08/12/2014',254
'08/13/2014',296
'08/14/2014',468
'08/15/2014',492
'08/16/2014',884
'08/17/2014',635
'08/18/2014',373
'08/19/2014',391
'08/20/2014',399
'08/21/2014',341
'08/22/2014',366
'08/23/2014',745
'08/24/2014',710
'08/25/2014',382
'08/26/2014',349
'08/27/2014',336
'08/28/2014',358
'08/29/2014',475
'08/30/2014',721
'08/31/2014',555
'09/01/2014',466
'09/02/2014',243
'09/03/2014',280
'09/04/2014',332
'09/05/2014',389
'09/06/2014',611
'09/07/2014',565
'09/08/2014',381
'09/09/2014',361
'09/10/2014',393
'09/11/2014',391
'09/12/2014',490
'09/13/2014',564
'09/14/2014',656
'09/15/2014',437
'09/16/2014',408
'09/17/2014',430
'09/18/2014',494
'09/19/2014',511
'09/20/2014',867
'09/21/2014',654
'09/22/2014',346
'09/23/2014',357
'09/24/2014',475
'09/25/2014',302
'09/26/2014',553
'09/27/2014',919
'09/28/2014',614
'09/29/2014',367
'09/30/2014',319
'10/01/2014',415
'10/02/2014',422
'10/03/2014',473
'10/04/2014',628
'10/05/2014',558
'10/06/2014',337
'10/07/2014',402
'10/08/2014',410
'10/09/2014',364
'10/10/2014',459
'10/11/2014',586
'10/12/2014',529
'10/13/2014',341
'10/14/2014',459
'10/15/2014',366
'10/16/2014',427
'10/17/2014',517
'10/18/2014',690
'10/19/2014',430
'10/20/2014',301
'10/21/2014',364
'10/22/2014',244
'10/23/2014',269
'10/24/2014',391
'10/25/2014',665
'10/26/2014',490
'10/27/2014',330
'10/28/2014',386
'10/29/2014',381
'10/30/2014',349
'10/31/2014',397
'11/01/2014',419
'11/02/2014',350
'11/03/2014',302
'11/04/2014',313
'11/05/2014',387
'11/06/2014',267
'11/07/2014',265
'11/08/2014',464
'11/09/2014',420
'11/10/2014',317
'11/11/2014',381
'11/12/2014',338
'11/13/2014',279
'11/14/2014',319
'11/15/2014',489
'11/16/2014',447
'11/17/2014',216
'11/18/2014',236
'11/19/2014',228
'11/20/2014',287
'11/21/2014',297
'11/22/2014',449
'11/23/2014',547
'11/24/2014',324
'11/25/2014',318
'11/26/2014',159
'11/27/2014',161
'11/28/2014',178
'11/29/2014',335
'11/30/2014',346
'12/01/2014',273
'12/02/2014',246
'12/03/2014',291
'12/04/2014',324
'12/05/2014',298
'12/06/2014',380
'12/07/2014',393
'12/08/2014',296
'12/09/2014',217
'12/10/2014',239
'12/11/2014',244
'12/12/2014',336
'12/13/2014',447
'12/14/2014',366
'12/15/2014',273
'12/16/2014',323
'12/17/2014',316
'12/18/2014',341
'12/19/2014',295
'12/20/2014',360
'12/21/2014',400
'12/22/2014',248
'12/23/2014',209
'12/24/2014',172
'12/25/2014',153
'12/26/2014',172
'12/27/2014',291
'12/28/2014',272
'12/29/2014',209
'12/30/2014',214
'12/31/2014',192
'01/01/2015',248
'01/02/2015',191
'01/03/2015',325
'01/04/2015',254
'01/05/2015',188
'01/06/2015',208
'01/07/2015',193
'01/08/2015',192
'01/09/2015',188
'01/10/2015',324
'01/11/2015',324
'01/12/2015',199
'01/13/2015',217
'01/14/2015',183
'01/15/2015',211
'01/16/2015',279
'01/17/2015',293
'01/18/2015',323
'01/19/2015',305
'01/20/2015',240
'01/21/2015',256
'01/22/2015',218
'01/23/2015',283
'01/24/2015',353
'01/25/2015',315
'01/26/2015',145
'01/27/2015',82
'01/28/2015',163
'01/29/2015',260
'01/30/2015',269
'01/31/2015',279
'02/01/2015',326
'02/02/2015',167
'02/03/2015',154
'02/04/2015',252
'02/05/2015',215
'02/06/2015',202
'02/07/2015',331
'02/08/2015',319
'02/09/2015',176
'02/10/2015',227
'02/11/2015',240
'02/12/2015',230
'02/13/2015',225
'02/14/2015',323
'02/15/2015',226
'02/16/2015',218
'02/17/2015',173
'02/18/2015',207
'02/19/2015',169
'02/20/2015',222
'02/21/2015',333
'02/22/2015',265
'02/23/2015',221
'02/24/2015',183
'02/25/2015',239
'02/26/2015',231
'02/27/2015',253
'02/28/2015',339
'03/01/2015',278
'03/02/2015',166
'03/03/2015',195
'03/04/2015',235
'03/05/2015',178
'03/06/2015',203
'03/07/2015',319
'03/08/2015',273
'03/09/2015',310
'03/10/2015',269
'03/11/2015',361
'03/12/2015',301
'03/13/2015',321
'03/14/2015',393
'03/15/2015',364
'03/16/2015',272
'03/17/2015',317
'03/18/2015',258
'03/19/2015',258
'03/20/2015',245
'03/21/2015',405
'03/22/2015',378
'03/23/2015',217
'03/24/2015',298
'03/25/2015',287
'03/26/2015',254
'03/27/2015',325
'03/28/2015',434
'03/29/2015',367
'03/30/2015',329
'03/31/2015',342
'04/01/2015',366
'04/02/2015',426
'04/03/2015',472
'04/04/2015',493
'04/05/2015',447
'04/06/2015',446
'04/07/2015',402
'04/08/2015',311
'04/09/2015',314
'04/10/2015',378
'04/11/2015',596
'04/12/2015',544
'04/13/2015',402
'04/14/2015',420
'04/15/2015',489
'04/16/2015',501
'04/17/2015',640
'04/18/2015',1022
'04/19/2015',662
'04/20/2015',278
'04/21/2015',369
'04/22/2015',420
'04/23/2015',339
'04/24/2015',326
'04/25/2015',645
'04/26/2015',583
'04/27/2015',358
'04/28/2015',589
'04/29/2015',587
'04/30/2015',425
'05/01/2015',552
'05/02/2015',618
'05/03/2015',744
'05/04/2015',584
'05/05/2015',627
'05/06/2015',618
'05/07/2015',610
'05/08/2015',810
'05/09/2015',926
'05/10/2015',1010
'05/11/2015',556
'05/12/2015',518
'05/13/2015',442
'05/14/2015',520
'05/15/2015',670
'05/16/2015',759
'05/17/2015',701
'05/18/2015',467
'05/19/2015',484
'05/20/2015',416
'05/21/2015',367
'05/22/2015',538
'05/23/2015',755
'05/24/2015',878
'05/25/2015',964
'05/26/2015',503
'05/27/2015',457
'05/28/2015',549
'05/29/2015',662
'05/30/2015',986
'05/31/2015',561
'06/01/2015',269
'06/02/2015',325
'06/03/2015',454
'06/04/2015',496
'06/05/2015',542
'06/06/2015',1044
'06/07/2015',916
'06/08/2015',476
'06/09/2015',470
'06/10/2015',596
'06/11/2015',514
'06/12/2015',511
'06/13/2015',850
'06/14/2015',738
'06/15/2015',274
'06/16/2015',309
'06/17/2015',438
'06/18/2015',496
'06/19/2015',599
'06/20/2015',853
'06/21/2015',825
'06/22/2015',494
'06/23/2015',391
'06/24/2015',555
'06/25/2015',561
'06/26/2015',689
'06/27/2015',688
'06/28/2015',700
'06/29/2015',587
'06/30/2015',541
'07/01/2015',556
'07/02/2015',583
'07/03/2015',788
'07/04/2015',805
'07/05/2015',765
'07/06/2015',427
'07/07/2015',354
'07/08/2015',393
'07/09/2015',339
'07/10/2015',532
'07/11/2015',909
'07/12/2015',823
'07/13/2015',442
'07/14/2015',386
'07/15/2015',424
'07/16/2015',589
'07/17/2015',613
'07/18/2015',869
'07/19/2015',540
'07/20/2015',320
'07/21/2015',316
'07/22/2015',439
'07/23/2015',535
'07/24/2015',577
'07/25/2015',943
'07/26/2015',576
'07/27/2015',453
'07/28/2015',362
'07/29/2015',381
'07/30/2015',320
'07/31/2015',481
'08/01/2015',756
'08/02/2015',614
'08/03/2015',332
'08/04/2015',428
'08/05/2015',446
'08/06/2015',475
'08/07/2015',519
'08/08/2015',881
'08/09/2015',782
'08/10/2015',428
'08/11/2015',299
'08/12/2015',399
'08/13/2015',489
'08/14/2015',631
'08/15/2015',881
'08/16/2015',681
'08/17/2015',328
'08/18/2015',354
'08/19/2015',367
'08/20/2015',430
'08/21/2015',522
'08/22/2015',983
'08/23/2015',759
'08/24/2015',403
'08/25/2015',457
'08/26/2015',492
'08/27/2015',529
'08/28/2015',669
'08/29/2015',988
'08/30/2015',730
'08/31/2015',353
'09/01/2015',368
'09/02/2015',426
'09/03/2015',357
'09/04/2015',508
'09/05/2015',818
'09/06/2015',852
'09/07/2015',738
'09/08/2015',288
'09/09/2015',292
'09/10/2015',255
'09/11/2015',507
'09/12/2015',733
'09/13/2015',633
'09/14/2015',434
'09/15/2015',494
'09/16/2015',490
'09/17/2015',486
'09/18/2015',652
'09/19/2015',978
'09/20/2015',757
'09/21/2015',472
'09/22/2015',521
'09/23/2015',603
'09/24/2015',643
'09/25/2015',724
'09/26/2015',1079
'09/27/2015',836
'09/28/2015',466
'09/29/2015',401
'09/30/2015',349
'10/01/2015',392
'10/02/2015',310
'10/03/2015',451
'10/04/2015',547
'10/05/2015',400
'10/06/2015',502
'10/07/2015',503
'10/08/2015',525
'10/09/2015',456
'10/10/2015',691
'10/11/2015',685
'10/12/2015',486
'10/13/2015',449
'10/14/2015',512
'10/15/2015',436
'10/16/2015',572
'10/17/2015',664
'10/18/2015',432
'10/19/2015',334
'10/20/2015',472
'10/21/2015',607
'10/22/2015',621
'10/23/2015',506
'10/24/2015',751
'10/25/2015',640
'10/26/2015',367
'10/27/2015',392
'10/28/2015',303
'10/29/2015',441
'10/30/2015',467
'10/31/2015',709
'11/01/2015',574
'11/02/2015',387
'11/03/2015',514
'11/04/2015',481
'11/05/2015',458
'11/06/2015',741
'11/07/2015',903
'11/08/2015',529
'11/09/2015',385
'11/10/2015',327
'11/11/2015',361
'11/12/2015',393
'11/13/2015',451
'11/14/2015',623
'11/15/2015',517
'11/16/2015',416
'11/17/2015',453
'11/18/2015',472
'11/19/2015',393
'11/20/2015',444
'11/21/2015',703
'11/22/2015',516
'11/23/2015',251
'11/24/2015',337
'11/25/2015',309
'11/26/2015',288
'11/27/2015',322
'11/28/2015',427
'11/29/2015',368
'11/30/2015',282
'12/01/2015',231
'12/02/2015',341
'12/03/2015',396
'12/04/2015',365
'12/05/2015',655
'12/06/2015',526
'12/07/2015',385
'12/08/2015',382
'12/09/2015',416
'12/10/2015',424
'12/11/2015',470
'12/12/2015',923
'12/13/2015',633
'12/14/2015',333
'12/15/2015',359
'12/16/2015',373
'12/17/2015',373
'12/18/2015',362
'12/19/2015',446
'12/20/2015',410
'12/21/2015',249
'12/22/2015',320
'12/23/2015',299
'12/24/2015',362
'12/25/2015',363
'12/26/2015',324
'12/27/2015',337
'12/28/2015',243
'12/29/2015',231
'12/30/2015',310
'12/31/2015',255
'01/01/2016',298
'01/02/2016',326
'01/03/2016',343
'01/04/2016',230
'01/05/2016',246
'01/06/2016',266
'01/07/2016',272
'01/08/2016',290
'01/09/2016',516
'01/10/2016',371
'01/11/2016',281
'01/12/2016',222
'01/13/2016',204
'01/14/2016',270
'01/15/2016',333
'01/16/2016',462
'01/17/2016',349
'01/18/2016',309
'01/19/2016',244
'01/20/2016',273
'01/21/2016',233
'01/22/2016',303
'01/23/2016',184
'01/24/2016',120
'01/25/2016',163
'01/26/2016',231
'01/27/2016',282
'01/28/2016',223
'01/29/2016',330
'01/30/2016',452
'01/31/2016',399
'02/01/2016',284
'02/02/2016',317
'02/03/2016',309
'02/04/2016',350
'02/05/2016',248
'02/06/2016',434
'02/07/2016',375
'02/08/2016',231
'02/09/2016',271
'02/10/2016',294
'02/11/2016',247
'02/12/2016',325
'02/13/2016',348
'02/14/2016',267
'02/15/2016',212
'02/16/2016',285
'02/17/2016',323
'02/18/2016',331
'02/19/2016',297
'02/20/2016',600
'02/21/2016',469
'02/22/2016',360
'02/23/2016',268
'02/24/2016',257
'02/25/2016',353
'02/26/2016',308
'02/27/2016',538
'02/28/2016',503
'02/29/2016',300
'03/01/2016',287
'03/02/2016',315
'03/03/2016',314
'03/04/2016',254
'03/05/2016',513
'03/06/2016',424
'03/07/2016',362
'03/08/2016',28
